River,Area (km²),Relief (km),Temp (°C),Q (km³/yr),Q (m³/s),Runoff (m/yr),Qs (MT/yr),Yield (T/km²/yr),Glacier area (%),Lithology,1-TE,Erosion
Sanaga,"129,212.00",1.50,25.00,64.60,"2,049.00",0.50,6.00,46.00,0.00,0.75,0.30,1.00
Santa Clara (USA),"4,200.00",1.75,15.10,0.20,6.00,0.04,3.00,710.00,0.00,2.00,1.00,1.00
Santee,"36,590.00",0.84,16.00,12.90,410.00,0.35,1.00,28.00,0.00,1.00,0.50,0.30
Sao Francisco,"590,148.00",1.15,24.00,69.60,"2,207.00",0.12,6.30,11.00,0.00,1.00,0.30,1.00
Savannah,"27,905.00",1.81,17.00,10.90,346.00,0.39,2.80,101.00,0.00,1.00,0.60,1.00
Scheldt,"21,514.00",0.43,10.00,6.00,189.00,0.28,0.70,35.00,0.00,2.00,1.00,1.00
Sebaou (Algeria),"1,500.00",1.10,16.50,0.50,16.00,0.34,1.20,799.00,0.00,1.50,1.00,2.00
Sebou,"38,402.00",2.89,16.00,5.20,165.00,0.14,26.00,677.00,0.00,2.00,1.00,1.00
Seine,"73,472.00",0.78,10.00,12.90,410.00,0.18,1.10,15.00,0.00,1.50,1.00,0.30
Semani (Albania),"5,200.00",2.50,14.00,2.90,92.00,0.55,15.90,"3,063.00",0.00,2.00,1.00,2.00
Senegal,"270,000.00",0.80,29.00,21.90,694.00,0.08,2.10,8.00,0.00,0.50,1.00,1.00
